Reg. weight,traffic_scene,agent_id,act_acc,accel_val_mae,steer_val_mae,ADE,speed_mae,goal_rate,off_road,collision_rate,Agent,Train agent,Dataset,Eval mode
0.0,tfrecord-00000-of-01000_469.json,48,0.0,4.0551724137931044,0.07655172413793104,1.3781195345369588,5.852301433168608,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00000-of-01000_470.json,19,0.0,2.628571428571428,0.053809523809523814,1.512893321111156,5.32709611029852,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00000-of-01000_483.json,110,0.0,4.0,0.05172413793103448,1.3199408302210707,5.564219573448444,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00000-of-01000_485.json,18,0.0,3.1918367346938776,0.058367346938775516,2.224875693381252,7.593525263727928,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00002-of-01000_112.json,11,0.0,4.476923076923077,0.08538461538461539,1.3267347988563694,5.980887724803044,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00002-of-01000_115.json,136,0.0,4.574999999999999,0.05000000000000002,0.644744232554065,3.613310933113098,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00002-of-01000_123.json,49,0.0,3.883870967741936,0.13548387096774192,1.5007198666779973,6.0229371747662945,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00002-of-01000_514.json,27,0.0,4.375,0.05374999999999999,0.5652441319345705,3.230630397796631,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00002-of-01000_515.json,66,0.0,4.0,0.3,0.02344258571124571,0.010302066802978516,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_144.json,6,0.0,4.816,0.1408,1.5470132455412875,5.879280233383179,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_146.json,15,0.0,4.427586206896552,0.07724137931034483,1.440466713996064,6.227717399597168,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_147.json,141,0.0,4.0,0.18,0.0009765625,0.0015392823843285441,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_155.json,75,0.0,4.066666666666666,0.04666666666666667,1.9105098271602345,7.244536227650112,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_157.json,25,0.0,3.2,0.16999999999999998,0.2090435060271675,0.5109591484069824,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00005-of-01000_164.json,42,0.0,3.4857142857142858,0.07771428571428572,1.3373738925176086,5.491347122192383,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00010-of-01000_82.json,5,0.0,2.9170731707317072,0.11756097560975608,1.7857274020952747,5.49361513446017,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00010-of-01000_85.json,50,0.0,2.9263157894736835,0.12105263157894738,0.48823767867608037,2.619212828184429,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_365.json,22,0.0,3.862068965517241,0.0806896551724138,1.2633956345524437,5.464251222281621,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_367.json,2,0.0,3.381818181818181,0.05272727272727273,2.0386671374153162,7.045980756933039,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_369.json,14,0.0,2.942857142857142,0.10428571428571429,0.3380424803584294,2.1393260955810547,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_372.json,23,0.0,5.3,0.15333333333333335,1.290895474199251,6.076532195011775,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_374.json,51,0.0,3.6000000000000005,0.3,0.005940197783494355,0.006137967808172107,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00012-of-01000_376.json,19,0.0,3.8418604651162793,0.045581395348837206,2.1733682491026003,8.237426735634028,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00016-of-01000_87.json,163,0.0,4.0,0.15333333333333332,0.02747531302970582,0.39995912831121433,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00017-of-01000_62.json,19,0.0,4.340000000000002,0.06200000000000001,0.8076905811545936,4.055886054039002,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00017-of-01000_66.json,130,0.0,3.92,0.0432,1.0613322746187308,4.783195762634278,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_30.json,96,0.0,3.9529411764705884,0.038823529411764715,1.7081139522567566,6.631084638483384,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_34.json,24,0.0,4.1454545454545455,0.11636363636363639,0.28957852257582006,2.0005482004423603,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_40.json,6,0.0,3.8285714285714287,0.11285714285714286,0.32511152851651365,1.887974807194301,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_46.json,18,0.0,3.954545454545455,0.056818181818181816,2.49552083179452,8.542843211780895,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_47.json,65,0.0,4.72,0.10400000000000002,1.0626647675157024,4.726198368500918,0.0,0.0,1.0,PPO,Self-play,data/train_no_tl,Log-replay
0.0,tfrecord-00022-of-01000_50.json,6,0.0,2.2758620689655173,0.07551724137931035,2.2117999510834485,6.5974065353130475,1.0,0.0,0.0,PPO,Self-play,data/train_no_tl,Log-replay
