"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"30156","4","4","4","5.21980094909668","5.21980094909668","5.21980094909668","","","","","",""
"30774","","","","","","","4","4","4","6.0955095291137695","6.0955095291137695","6.0955095291137695"
"49689","","","","","","","6","6","6","6.008783340454102","6.008783340454102","6.008783340454102"
"51709","6","6","6","5.072657585144043","5.072657585144043","5.072657585144043","","","","","",""
"67942","","","","","","","8","8","8","6.021623611450195","6.021623611450195","6.021623611450195"
"71917","8","8","8","4.425180912017822","4.425180912017822","4.425180912017822","","","","","",""
"88750","","","","","","","10","10","10","5.688514232635498","5.688514232635498","5.688514232635498"
"93256","10","10","10","4.196397304534912","4.196397304534912","4.196397304534912","","","","","",""
"108542","","","","","","","12","12","12","6.03789758682251","6.03789758682251","6.03789758682251"
"113511","12","12","12","4.082779407501221","4.082779407501221","4.082779407501221","","","","","",""
"129302","","","","","","","14","14","14","6.022872447967529","6.022872447967529","6.022872447967529"
"130164","14","14","14","4.087664604187012","4.087664604187012","4.087664604187012","","","","","",""
"148934","","","","","","","16","16","16","6.381778717041016","6.381778717041016","6.381778717041016"
"149932","16","16","16","3.6119768619537354","3.6119768619537354","3.6119768619537354","","","","","",""
"169827","18","18","18","3.509768009185791","3.509768009185791","3.509768009185791","","","","","",""
"171040","","","","","","","18","18","18","6.298682689666748","6.298682689666748","6.298682689666748"
"186179","","","","","","","20","20","20","5.925748348236084","5.925748348236084","5.925748348236084"
"190246","20","20","20","3.397413730621338","3.397413730621338","3.397413730621338","","","","","",""
"209348","","","","","","","22","22","22","6.197450637817383","6.197450637817383","6.197450637817383"
"217420","22","22","22","3.3351099491119385","3.3351099491119385","3.3351099491119385","","","","","",""
"233673","24","24","24","2.942009687423706","2.942009687423706","2.942009687423706","","","","","",""
"235605","","","","","","","24","24","24","6.220798969268799","6.220798969268799","6.220798969268799"
"253507","26","26","26","3.005777359008789","3.005777359008789","3.005777359008789","","","","","",""
"256801","","","","","","","26","26","26","6.4584550857543945","6.4584550857543945","6.4584550857543945"
"275718","28","28","28","2.7543272972106934","2.7543272972106934","2.7543272972106934","","","","","",""
"276296","","","","","","","28","28","28","6.161002159118652","6.161002159118652","6.161002159118652"
"296895","30","30","30","2.6662185192108154","2.6662185192108154","2.6662185192108154","","","","","",""
"300381","","","","","","","30","30","30","5.871535301208496","5.871535301208496","5.871535301208496"
"320576","","","","","","","32","32","32","6.278214931488037","6.278214931488037","6.278214931488037"
"321941","32","32","32","2.7095210552215576","2.7095210552215576","2.7095210552215576","","","","","",""
"342048","","","","","","","34","34","34","6.503203868865967","6.503203868865967","6.503203868865967"
"344595","34","34","34","2.3704731464385986","2.3704731464385986","2.3704731464385986","","","","","",""
"365774","","","","","","","36","36","36","6.315201282501221","6.315201282501221","6.315201282501221"
"366832","36","36","36","2.4945709705352783","2.4945709705352783","2.4945709705352783","","","","","",""
"392027","38","38","38","2.4559426307678223","2.4559426307678223","2.4559426307678223","","","","","",""
"392384","","","","","","","38","38","38","6.399725437164307","6.399725437164307","6.399725437164307"
"412451","","","","","","","40","40","40","6.412867546081543","6.412867546081543","6.412867546081543"
"419085","40","40","40","2.2987425327301025","2.2987425327301025","2.2987425327301025","","","","","",""
"435322","","","","","","","42","42","42","6.452645301818848","6.452645301818848","6.452645301818848"
"436470","42","42","42","1.805886149406433","1.805886149406433","1.805886149406433","","","","","",""
"457211","","","","","","","44","44","44","6.159854412078857","6.159854412078857","6.159854412078857"
"461285","44","44","44","2.022496223449707","2.022496223449707","2.022496223449707","","","","","",""
"484561","46","46","46","2.076868772506714","2.076868772506714","2.076868772506714","","","","","",""
"485463","","","","","","","46","46","46","6.577449798583984","6.577449798583984","6.577449798583984"
"508006","","","","","","","48","48","48","6.57794189453125","6.57794189453125","6.57794189453125"
"508843","48","48","48","1.9217513799667358","1.9217513799667358","1.9217513799667358","","","","","",""
"528027","50","50","50","1.8941742181777954","1.8941742181777954","1.8941742181777954","","","","","",""
"537621","","","","","","","50","50","50","6.626067638397217","6.626067638397217","6.626067638397217"
"556344","52","52","52","2.1356101036071777","2.1356101036071777","2.1356101036071777","","","","","",""
"567403","","","","","","","52","52","52","6.317534923553467","6.317534923553467","6.317534923553467"
"582246","54","54","54","1.9061802625656128","1.9061802625656128","1.9061802625656128","","","","","",""
"594913","","","","","","","54","54","54","6.631767749786377","6.631767749786377","6.631767749786377"
"601939","56","56","56","1.7048733234405518","1.7048733234405518","1.7048733234405518","","","","","",""
"610384","","","","","","","56","56","56","6.5895161628723145","6.5895161628723145","6.5895161628723145"
"625440","58","58","58","1.759709119796753","1.759709119796753","1.759709119796753","","","","","",""
"632229","","","","","","","58","58","58","6.832032680511475","6.832032680511475","6.832032680511475"
"638969","60","60","60","1.7170920372009277","1.7170920372009277","1.7170920372009277","","","","","",""
"657230","","","","","","","60","60","60","6.650076389312744","6.650076389312744","6.650076389312744"
"661367","62","62","62","1.7587271928787231","1.7587271928787231","1.7587271928787231","","","","","",""
"684001","64","64","64","1.4443683624267578","1.4443683624267578","1.4443683624267578","","","","","",""
"684031","","","","","","","62","62","62","6.7394537925720215","6.7394537925720215","6.7394537925720215"
"708210","66","66","66","1.61454439163208","1.61454439163208","1.61454439163208","","","","","",""
"708645","","","","","","","64","64","64","6.559796333312988","6.559796333312988","6.559796333312988"
