"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/loss_kl_weighted","HR-PPO - regularize/loss_kl_weighted__MIN","HR-PPO - regularize/loss_kl_weighted__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/loss_kl_weighted","PPO - regularize/loss_kl_weighted__MIN","PPO - regularize/loss_kl_weighted__MAX"
"30156","4","4","4","0.3131880462169647","0.3131880462169647","0.3131880462169647","","","","","",""
"30774","","","","","","","4","4","4","0","0","0"
"49689","","","","","","","6","6","6","0","0","0"
"51709","6","6","6","0.30435946583747864","0.30435946583747864","0.30435946583747864","","","","","",""
"67942","","","","","","","8","8","8","0","0","0"
"71917","8","8","8","0.2655108571052551","0.2655108571052551","0.2655108571052551","","","","","",""
"88750","","","","","","","10","10","10","0","0","0"
"93256","10","10","10","0.2517838478088379","0.2517838478088379","0.2517838478088379","","","","","",""
"108542","","","","","","","12","12","12","0","0","0"
"113511","12","12","12","0.2449667602777481","0.2449667602777481","0.2449667602777481","","","","","",""
"129302","","","","","","","14","14","14","0","0","0"
"130164","14","14","14","0.24525988101959229","0.24525988101959229","0.24525988101959229","","","","","",""
"148934","","","","","","","16","16","16","0","0","0"
"149932","16","16","16","0.2167186141014099","0.2167186141014099","0.2167186141014099","","","","","",""
"169827","18","18","18","0.2105860859155655","0.2105860859155655","0.2105860859155655","","","","","",""
"171040","","","","","","","18","18","18","0","0","0"
"186179","","","","","","","20","20","20","0","0","0"
"190246","20","20","20","0.2038448303937912","0.2038448303937912","0.2038448303937912","","","","","",""
"209348","","","","","","","22","22","22","0","0","0"
"217420","22","22","22","0.20010659098625183","0.20010659098625183","0.20010659098625183","","","","","",""
"233673","24","24","24","0.17652058601379395","0.17652058601379395","0.17652058601379395","","","","","",""
"235605","","","","","","","24","24","24","0","0","0"
"253507","26","26","26","0.18034663796424866","0.18034663796424866","0.18034663796424866","","","","","",""
"256801","","","","","","","26","26","26","0","0","0"
"275718","28","28","28","0.16525964438915253","0.16525964438915253","0.16525964438915253","","","","","",""
"276296","","","","","","","28","28","28","0","0","0"
"296895","30","30","30","0.1599731147289276","0.1599731147289276","0.1599731147289276","","","","","",""
"300381","","","","","","","30","30","30","0","0","0"
"320576","","","","","","","32","32","32","0","0","0"
"321941","32","32","32","0.1625712662935257","0.1625712662935257","0.1625712662935257","","","","","",""
"342048","","","","","","","34","34","34","0","0","0"
"344595","34","34","34","0.1422283947467804","0.1422283947467804","0.1422283947467804","","","","","",""
"365774","","","","","","","36","36","36","0","0","0"
"366832","36","36","36","0.14967425167560577","0.14967425167560577","0.14967425167560577","","","","","",""
"392027","38","38","38","0.1473565548658371","0.1473565548658371","0.1473565548658371","","","","","",""
"392384","","","","","","","38","38","38","0","0","0"
"412451","","","","","","","40","40","40","0","0","0"
"419085","40","40","40","0.13792455196380615","0.13792455196380615","0.13792455196380615","","","","","",""
"435322","","","","","","","42","42","42","0","0","0"
"436470","42","42","42","0.10835316777229309","0.10835316777229309","0.10835316777229309","","","","","",""
"457211","","","","","","","44","44","44","0","0","0"
"461285","44","44","44","0.1213497743010521","0.1213497743010521","0.1213497743010521","","","","","",""
"484561","46","46","46","0.12461212277412415","0.12461212277412415","0.12461212277412415","","","","","",""
"485463","","","","","","","46","46","46","0","0","0"
"508006","","","","","","","48","48","48","0","0","0"
"508843","48","48","48","0.11530508100986481","0.11530508100986481","0.11530508100986481","","","","","",""
"528027","50","50","50","0.11365045607089996","0.11365045607089996","0.11365045607089996","","","","","",""
"537621","","","","","","","50","50","50","0","0","0"
"556344","52","52","52","0.12813660502433777","0.12813660502433777","0.12813660502433777","","","","","",""
"567403","","","","","","","52","52","52","0","0","0"
"582246","54","54","54","0.11437081545591354","0.11437081545591354","0.11437081545591354","","","","","",""
"594913","","","","","","","54","54","54","0","0","0"
"601939","56","56","56","0.10229239612817764","0.10229239612817764","0.10229239612817764","","","","","",""
"610384","","","","","","","56","56","56","0","0","0"
"625440","58","58","58","0.10558255016803741","0.10558255016803741","0.10558255016803741","","","","","",""
"632229","","","","","","","58","58","58","0","0","0"
"638969","60","60","60","0.10302552580833435","0.10302552580833435","0.10302552580833435","","","","","",""
"657230","","","","","","","60","60","60","0","0","0"
"661367","62","62","62","0.10552363097667694","0.10552363097667694","0.10552363097667694","","","","","",""
"684001","64","64","64","0.08666209876537323","0.08666209876537323","0.08666209876537323","","","","","",""
"684031","","","","","","","62","62","62","0","0","0"
"708210","66","66","66","0.09687266498804092","0.09687266498804092","0.09687266498804092","","","","","",""
"708645","","","","","","","64","64","64","0","0","0"
"730891","68","68","68","0.09779732674360275","0.09779732674360275","0.09779732674360275","","","","","",""
"731029","","","","","","","66","66","66","0","0","0"
"752686","","","","","","","68","68","68","0","0","0"
"760147","70","70","70","0.10694465041160583","0.10694465041160583","0.10694465041160583","","","","","",""
"774598","","","","","","","70","70","70","0","0","0"
"779935","72","72","72","0.07175864279270172","0.07175864279270172","0.07175864279270172","","","","","",""
"795146","","","","","","","72","72","72","0","0","0"
"801661","74","74","74","0.10028574615716934","0.10028574615716934","0.10028574615716934","","","","","",""
"823596","76","76","76","0.09218379855155945","0.09218379855155945","0.09218379855155945","","","","","",""
"825690","","","","","","","74","74","74","0","0","0"
"845938","","","","","","","76","76","76","0","0","0"
"850535","78","78","78","0.09034799784421921","0.09034799784421921","0.09034799784421921","","","","","",""
"869136","","","","","","","78","78","78","0","0","0"
"873514","80","80","80","0.08605258911848068","0.08605258911848068","0.08605258911848068","","","","","",""
"894325","82","82","82","0.08589158952236176","0.08589158952236176","0.08589158952236176","","","","","",""
"896148","","","","","","","80","80","80","0","0","0"
"914554","","","","","","","82","82","82","0","0","0"
"921584","84","84","84","0.08001872897148132","0.08001872897148132","0.08001872897148132","","","","","",""
"938704","86","86","86","0.08088909834623337","0.08088909834623337","0.08088909834623337","","","","","",""
"940790","","","","","","","84","84","84","0","0","0"
"957678","88","88","88","0.0976659506559372","0.0976659506559372","0.0976659506559372","","","","","",""
"965511","","","","","","","86","86","86","0","0","0"
"983315","90","90","90","0.08826982229948044","0.08826982229948044","0.08826982229948044","","","","","",""
"990214","","","","","","","88","88","88","0","0","0"
"1009607","92","92","92","0.12024083733558655","0.12024083733558655","0.12024083733558655","","","","","",""
"1011303","","","","","","","90","90","90","0","0","0"
"1033543","94","94","94","0.07915092259645462","0.07915092259645462","0.07915092259645462","","","","","",""
"1039199","","","","","","","92","92","92","0","0","0"
"1051207","96","96","96","0.08852910250425339","0.08852910250425339","0.08852910250425339","","","","","",""
"1062800","","","","","","","94","94","94","0","0","0"
"1081779","98","98","98","0.09474378824234009","0.09474378824234009","0.09474378824234009","","","","","",""
"1091603","","","","","","","96","96","96","0","0","0"
"1098699","100","100","100","0.08729058504104614","0.08729058504104614","0.08729058504104614","","","","","",""
"1117930","","","","","","","98","98","98","0","0","0"
"1118523","102","102","102","0.08310925215482712","0.08310925215482712","0.08310925215482712","","","","","",""
"1141931","104","104","104","0.08327557146549225","0.08327557146549225","0.08327557146549225","","","","","",""
"1147083","","","","","","","100","100","100","0","0","0"
"1163564","106","106","106","0.08399821817874908","0.08399821817874908","0.08399821817874908","","","","","",""
"1169250","","","","","","","102","102","102","0","0","0"
"1191781","108","108","108","0.0816158577799797","0.0816158577799797","0.0816158577799797","","","","","",""
"1195181","","","","","","","104","104","104","0","0","0"
"1214687","110","110","110","0.08386708050966263","0.08386708050966263","0.08386708050966263","","","","","",""
"1215258","","","","","","","106","106","106","0","0","0"
"1233651","112","112","112","0.08423948287963867","0.08423948287963867","0.08423948287963867","","","","","",""
"1243603","","","","","","","108","108","108","0","0","0"
"1261749","114","114","114","0.0980595201253891","0.0980595201253891","0.0980595201253891","","","","","",""
"1269949","","","","","","","110","110","110","0","0","0"
"1286313","116","116","116","0.0720726028084755","0.0720726028084755","0.0720726028084755","","","","","",""
"1292149","","","","","","","112","112","112","0","0","0"
"1313074","118","118","118","0.08164965361356735","0.08164965361356735","0.08164965361356735","","","","","",""
"1317217","","","","","","","114","114","114","0","0","0"
"1339787","","","","","","","116","116","116","0","0","0"
"1342961","120","120","120","0.07652762532234192","0.07652762532234192","0.07652762532234192","","","","","",""
"1369057","122","122","122","0.07543882727622986","0.07543882727622986","0.07543882727622986","","","","","",""
"1376254","","","","","","","118","118","118","0","0","0"
"1392256","124","124","124","0.06737829744815826","0.06737829744815826","0.06737829744815826","","","","","",""
"1394868","","","","","","","120","120","120","0","0","0"
"1411314","126","126","126","0.07748772203922272","0.07748772203922272","0.07748772203922272","","","","","",""
"1421903","","","","","","","122","122","122","0","0","0"
"1435132","128","128","128","0.07227889448404312","0.07227889448404312","0.07227889448404312","","","","","",""
"1449902","","","","","","","124","124","124","0","0","0"
"1452760","130","130","130","0.06663185358047485","0.06663185358047485","0.06663185358047485","","","","","",""
"1475488","132","132","132","0.07878456264734268","0.07878456264734268","0.07878456264734268","","","","","",""
"1478568","","","","","","","126","126","126","0","0","0"
"1495687","134","134","134","0.08057618141174316","0.08057618141174316","0.08057618141174316","","","","","",""
"1503928","","","","","","","128","128","128","0","0","0"
"1523128","136","136","136","0.07003746181726456","0.07003746181726456","0.07003746181726456","","","","","",""
"1531535","","","","","","","130","130","130","0","0","0"
"1551370","138","138","138","0.0643514022231102","0.0643514022231102","0.0643514022231102","","","","","",""
"1555004","","","","","","","132","132","132","0","0","0"
"1578293","140","140","140","0.062468647956848145","0.062468647956848145","0.062468647956848145","","","","","",""
"1578782","","","","","","","134","134","134","0","0","0"
"1601743","","","","","","","136","136","136","0","0","0"
"1605155","142","142","142","0.06603066623210907","0.06603066623210907","0.06603066623210907","","","","","",""
"1627732","144","144","144","0.07544875890016556","0.07544875890016556","0.07544875890016556","","","","","",""
"1628513","","","","","","","138","138","138","0","0","0"
"1649605","146","146","146","0.06634052842855453","0.06634052842855453","0.06634052842855453","","","","","",""
"1651184","","","","","","","140","140","140","0","0","0"
"1672554","148","148","148","0.07812733948230743","0.07812733948230743","0.07812733948230743","","","","","",""
"1673867","","","","","","","142","142","142","0","0","0"
"1695649","150","150","150","0.06321056932210922","0.06321056932210922","0.06321056932210922","","","","","",""
"1703373","","","","","","","144","144","144","0","0","0"
"1718102","152","152","152","0.06479791551828384","0.06479791551828384","0.06479791551828384","","","","","",""
"1728849","","","","","","","146","146","146","0","0","0"
"1743965","154","154","154","0.07574719190597534","0.07574719190597534","0.07574719190597534","","","","","",""
"1757084","","","","","","","148","148","148","0","0","0"
"1775644","","","","","","","150","150","150","0","0","0"
"1776897","156","156","156","0.060574937611818314","0.060574937611818314","0.060574937611818314","","","","","",""
"1801331","158","158","158","0.07278149574995041","0.07278149574995041","0.07278149574995041","","","","","",""
"1802733","","","","","","","152","152","152","0","0","0"
"1823599","160","160","160","0.0673561692237854","0.0673561692237854","0.0673561692237854","","","","","",""
"1827808","","","","","","","154","154","154","0","0","0"
"1845282","162","162","162","0.07695800065994263","0.07695800065994263","0.07695800065994263","","","","","",""
"1852574","","","","","","","156","156","156","0","0","0"
"1873307","","","","","","","158","158","158","0","0","0"
"1877128","164","164","164","0.06976497173309326","0.06976497173309326","0.06976497173309326","","","","","",""
"1897617","166","166","166","0.06464792788028717","0.06464792788028717","0.06464792788028717","","","","","",""
"1898185","","","","","","","160","160","160","0","0","0"
"1927468","","","","","","","162","162","162","0","0","0"
"1929591","168","168","168","0.06910797208547592","0.06910797208547592","0.06910797208547592","","","","","",""
"1950946","","","","","","","164","164","164","0","0","0"
"1959889","170","170","170","0.06511399149894714","0.06511399149894714","0.06511399149894714","","","","","",""
"1972418","","","","","","","166","166","166","0","0","0"
"1987420","172","172","172","0.052952542901039124","0.052952542901039124","0.052952542901039124","","","","","",""
"1992119","","","","","","","168","168","168","0","0","0"
"2013738","174","174","174","0.05658295005559921","0.05658295005559921","0.05658295005559921","","","","","",""
"2018173","","","","","","","170","170","170","0","0","0"
"2035142","176","176","176","0.06316914409399033","0.06316914409399033","0.06316914409399033","","","","","",""
"2048342","","","","","","","172","172","172","0","0","0"
"2051596","178","178","178","0.06623565405607224","0.06623565405607224","0.06623565405607224","","","","","",""
"2071006","180","180","180","0.07351461052894592","0.07351461052894592","0.07351461052894592","","","","","",""
"2076581","","","","","","","174","174","174","0","0","0"
"2090277","182","182","182","0.0644804909825325","0.0644804909825325","0.0644804909825325","","","","","",""
"2103162","","","","","","","176","176","176","0","0","0"
"2112639","184","184","184","0.06453883647918701","0.06453883647918701","0.06453883647918701","","","","","",""
"2128861","","","","","","","178","178","178","0","0","0"
"2140418","186","186","186","0.05833469703793526","0.05833469703793526","0.05833469703793526","","","","","",""
