"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_collided","HR-PPO - rollout/perc_collided__MIN","HR-PPO - rollout/perc_collided__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_collided","PPO - rollout/perc_collided__MIN","PPO - rollout/perc_collided__MAX"
"16074","2","2","2","28.39285659790039","28.39285659790039","28.39285659790039","2","2","2","28.39285659790039","28.39285659790039","28.39285659790039"
"30156","4","4","4","23.79958152770996","23.79958152770996","23.79958152770996","","","","","",""
"30774","","","","","","","4","4","4","25.695932388305664","25.695932388305664","25.695932388305664"
"49689","","","","","","","6","6","6","23.85158920288086","23.85158920288086","23.85158920288086"
"51709","6","6","6","23.165468215942383","23.165468215942383","23.165468215942383","","","","","",""
"67942","","","","","","","8","8","8","26.142595291137695","26.142595291137695","26.142595291137695"
"71917","8","8","8","28.99224853515625","28.99224853515625","28.99224853515625","","","","","",""
"88750","","","","","","","10","10","10","25.299400329589844","25.299400329589844","25.299400329589844"
"93256","10","10","10","24.364723205566406","24.364723205566406","24.364723205566406","","","","","",""
"108542","","","","","","","12","12","12","27.08333396911621","27.08333396911621","27.08333396911621"
"113511","12","12","12","23.657718658447266","23.657718658447266","23.657718658447266","","","","","",""
"129302","","","","","","","14","14","14","24.21746253967285","24.21746253967285","24.21746253967285"
"130164","14","14","14","21.030927658081055","21.030927658081055","21.030927658081055","","","","","",""
"148934","","","","","","","16","16","16","27.95138931274414","27.95138931274414","27.95138931274414"
"149932","16","16","16","24.216028213500977","24.216028213500977","24.216028213500977","","","","","",""
"169827","18","18","18","26.036483764648438","26.036483764648438","26.036483764648438","","","","","",""
"171040","","","","","","","18","18","18","26.48335838317871","26.48335838317871","26.48335838317871"
"186179","","","","","","","20","20","20","22.478992462158203","22.478992462158203","22.478992462158203"
"190246","20","20","20","23.79471206665039","23.79471206665039","23.79471206665039","","","","","",""
"209348","","","","","","","22","22","22","27.81740379333496","27.81740379333496","27.81740379333496"
"217420","22","22","22","27.648578643798828","27.648578643798828","27.648578643798828","","","","","",""
"233673","24","24","24","19.709543228149414","19.709543228149414","19.709543228149414","","","","","",""
"235605","","","","","","","24","24","24","27.989486694335938","27.989486694335938","27.989486694335938"
"253507","26","26","26","22.807018280029297","22.807018280029297","22.807018280029297","","","","","",""
"256801","","","","","","","26","26","26","22.435897827148438","22.435897827148438","22.435897827148438"
"275718","28","28","28","20.78740119934082","20.78740119934082","20.78740119934082","","","","","",""
"276296","","","","","","","28","28","28","26.148969650268555","26.148969650268555","26.148969650268555"
"296895","30","30","30","23.809524536132812","23.809524536132812","23.809524536132812","","","","","",""
"300381","","","","","","","30","30","30","25.03420066833496","25.03420066833496","25.03420066833496"
"320576","","","","","","","32","32","32","22.870662689208984","22.870662689208984","22.870662689208984"
"321941","32","32","32","21.398601531982422","21.398601531982422","21.398601531982422","","","","","",""
"342048","","","","","","","34","34","34","24.20749282836914","24.20749282836914","24.20749282836914"
"344595","34","34","34","19.817073822021484","19.817073822021484","19.817073822021484","","","","","",""
"365774","","","","","","","36","36","36","19.944211959838867","19.944211959838867","19.944211959838867"
"366832","36","36","36","18.03542709350586","18.03542709350586","18.03542709350586","","","","","",""
"392027","38","38","38","19.122257232666016","19.122257232666016","19.122257232666016","","","","","",""
"392384","","","","","","","38","38","38","23.452381134033203","23.452381134033203","23.452381134033203"
"412451","","","","","","","40","40","40","20.689655303955078","20.689655303955078","20.689655303955078"
"419085","40","40","40","21.317829132080078","21.317829132080078","21.317829132080078","","","","","",""
"435322","","","","","","","42","42","42","16.73881721496582","16.73881721496582","16.73881721496582"
"436470","42","42","42","13.253011703491211","13.253011703491211","13.253011703491211","","","","","",""
"457211","","","","","","","44","44","44","16.617210388183594","16.617210388183594","16.617210388183594"
"461285","44","44","44","18.9681339263916","18.9681339263916","18.9681339263916","","","","","",""
"484561","46","46","46","17.182662963867188","17.182662963867188","17.182662963867188","","","","","",""
"485463","","","","","","","46","46","46","19.77142906188965","19.77142906188965","19.77142906188965"
"508006","","","","","","","48","48","48","17.762237548828125","17.762237548828125","17.762237548828125"
"508843","48","48","48","16.46525764465332","16.46525764465332","16.46525764465332","","","","","",""
"528027","50","50","50","14.629630088806152","14.629630088806152","14.629630088806152","","","","","",""
"537621","","","","","","","50","50","50","18.058691024780273","18.058691024780273","18.058691024780273"
"556344","52","52","52","15.435356140136719","15.435356140136719","15.435356140136719","","","","","",""
"567403","","","","","","","52","52","52","18.91891860961914","18.91891860961914","18.91891860961914"
"582246","54","54","54","14.186369895935059","14.186369895935059","14.186369895935059","","","","","",""
"594913","","","","","","","54","54","54","16.109785079956055","16.109785079956055","16.109785079956055"
"601939","56","56","56","15.878377914428711","15.878377914428711","15.878377914428711","","","","","",""
"610384","","","","","","","56","56","56","11.428571701049805","11.428571701049805","11.428571701049805"
"625440","58","58","58","15.789473533630371","15.789473533630371","15.789473533630371","","","","","",""
"632229","","","","","","","58","58","58","9.970674514770508","9.970674514770508","9.970674514770508"
"638969","60","60","60","11.30221176147461","11.30221176147461","11.30221176147461","","","","","",""
"657230","","","","","","","60","60","60","15.789473533630371","15.789473533630371","15.789473533630371"
"661367","62","62","62","14.646464347839355","14.646464347839355","14.646464347839355","","","","","",""
"684001","64","64","64","14.37403392791748","14.37403392791748","14.37403392791748","","","","","",""
"684031","","","","","","","62","62","62","11.097851753234863","11.097851753234863","11.097851753234863"
"708210","66","66","66","17.0180721282959","17.0180721282959","17.0180721282959","","","","","",""
"708645","","","","","","","64","64","64","14.360313415527344","14.360313415527344","14.360313415527344"
"730891","68","68","68","14.353312492370605","14.353312492370605","14.353312492370605","","","","","",""
"731029","","","","","","","66","66","66","14.08450698852539","14.08450698852539","14.08450698852539"
"752686","","","","","","","68","68","68","13.852813720703125","13.852813720703125","13.852813720703125"
"760147","70","70","70","13.059701919555664","13.059701919555664","13.059701919555664","","","","","",""
"774598","","","","","","","70","70","70","10.419681549072266","10.419681549072266","10.419681549072266"
"779935","72","72","72","9.851301193237305","9.851301193237305","9.851301193237305","","","","","",""
"795146","","","","","","","72","72","72","12.351190567016602","12.351190567016602","12.351190567016602"
"801661","74","74","74","11.239669799804688","11.239669799804688","11.239669799804688","","","","","",""
"823596","76","76","76","11.79401969909668","11.79401969909668","11.79401969909668","","","","","",""
"825690","","","","","","","74","74","74","14.70888614654541","14.70888614654541","14.70888614654541"
"845938","","","","","","","76","76","76","14.071856498718262","14.071856498718262","14.071856498718262"
"850535","78","78","78","13.63004207611084","13.63004207611084","13.63004207611084","","","","","",""
"869136","","","","","","","78","78","78","15.816993713378906","15.816993713378906","15.816993713378906"
"873514","80","80","80","10.78125","10.78125","10.78125","","","","","",""
"894325","82","82","82","9.729729652404785","9.729729652404785","9.729729652404785","","","","","",""
"896148","","","","","","","80","80","80","13.489409446716309","13.489409446716309","13.489409446716309"
"914554","","","","","","","82","82","82","10.792579650878906","10.792579650878906","10.792579650878906"
"921584","84","84","84","9.903714179992676","9.903714179992676","9.903714179992676","","","","","",""
"938704","86","86","86","9.72515869140625","9.72515869140625","9.72515869140625","","","","","",""
"940790","","","","","","","84","84","84","12.938331604003906","12.938331604003906","12.938331604003906"
"957678","88","88","88","12.885662078857422","12.885662078857422","12.885662078857422","","","","","",""
