"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_goal_achieved","HR-PPO - rollout/perc_goal_achieved__MIN","HR-PPO - rollout/perc_goal_achieved__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_goal_achieved","PPO - rollout/perc_goal_achieved__MIN","PPO - rollout/perc_goal_achieved__MAX"
"16074","2","2","2","17.85714340209961","17.85714340209961","17.85714340209961","2","2","2","17.85714340209961","17.85714340209961","17.85714340209961"
"30156","4","4","4","18.371606826782227","18.371606826782227","18.371606826782227","","","","","",""
"30774","","","","","","","4","4","4","18.62955093383789","18.62955093383789","18.62955093383789"
"49689","","","","","","","6","6","6","16.254417419433594","16.254417419433594","16.254417419433594"
"51709","6","6","6","17.841726303100586","17.841726303100586","17.841726303100586","","","","","",""
"67942","","","","","","","8","8","8","16.819013595581055","16.819013595581055","16.819013595581055"
"71917","8","8","8","23.56589126586914","23.56589126586914","23.56589126586914","","","","","",""
"88750","","","","","","","10","10","10","17.96407127380371","17.96407127380371","17.96407127380371"
"93256","10","10","10","18.983556747436523","18.983556747436523","18.983556747436523","","","","","",""
"108542","","","","","","","12","12","12","21.52777862548828","21.52777862548828","21.52777862548828"
"113511","12","12","12","28.523488998413086","28.523488998413086","28.523488998413086","","","","","",""
"129302","","","","","","","14","14","14","22.899505615234375","22.899505615234375","22.899505615234375"
"130164","14","14","14","27.835052490234375","27.835052490234375","27.835052490234375","","","","","",""
"148934","","","","","","","16","16","16","25","25","25"
"149932","16","16","16","33.62369155883789","33.62369155883789","33.62369155883789","","","","","",""
"169827","18","18","18","33.99668502807617","33.99668502807617","33.99668502807617","","","","","",""
"171040","","","","","","","18","18","18","30.390737533569336","30.390737533569336","30.390737533569336"
"186179","","","","","","","20","20","20","34.03361511230469","34.03361511230469","34.03361511230469"
"190246","20","20","20","37.32503890991211","37.32503890991211","37.32503890991211","","","","","",""
"209348","","","","","","","22","22","22","37.08987045288086","37.08987045288086","37.08987045288086"
"217420","22","22","22","47.28682327270508","47.28682327270508","47.28682327270508","","","","","",""
"233673","24","24","24","48.75518798828125","48.75518798828125","48.75518798828125","","","","","",""
"235605","","","","","","","24","24","24","37.18791198730469","37.18791198730469","37.18791198730469"
"253507","26","26","26","49.44178771972656","49.44178771972656","49.44178771972656","","","","","",""
"256801","","","","","","","26","26","26","46.79487228393555","46.79487228393555","46.79487228393555"
"275718","28","28","28","52.598426818847656","52.598426818847656","52.598426818847656","","","","","",""
"276296","","","","","","","28","28","28","45.483360290527344","45.483360290527344","45.483360290527344"
"296895","30","30","30","56.03174591064453","56.03174591064453","56.03174591064453","","","","","",""
"300381","","","","","","","30","30","30","47.332420349121094","47.332420349121094","47.332420349121094"
"320576","","","","","","","32","32","32","50.15773010253906","50.15773010253906","50.15773010253906"
"321941","32","32","32","55.38461685180664","55.38461685180664","55.38461685180664","","","","","",""
"342048","","","","","","","34","34","34","51.873199462890625","51.873199462890625","51.873199462890625"
"344595","34","34","34","60.67073059082031","60.67073059082031","60.67073059082031","","","","","",""
"365774","","","","","","","36","36","36","57.88005447387695","57.88005447387695","57.88005447387695"
"366832","36","36","36","59.4202880859375","59.4202880859375","59.4202880859375","","","","","",""
"392027","38","38","38","58.30720901489258","58.30720901489258","58.30720901489258","","","","","",""
"392384","","","","","","","38","38","38","55.238094329833984","55.238094329833984","55.238094329833984"
"412451","","","","","","","40","40","40","57.68025207519531","57.68025207519531","57.68025207519531"
"419085","40","40","40","58.65633010864258","58.65633010864258","58.65633010864258","","","","","",""
"435322","","","","","","","42","42","42","65.65656280517578","65.65656280517578","65.65656280517578"
"436470","42","42","42","65.26104736328125","65.26104736328125","65.26104736328125","","","","","",""
"457211","","","","","","","44","44","44","68.5459976196289","68.5459976196289","68.5459976196289"
"461285","44","44","44","63.73292922973633","63.73292922973633","63.73292922973633","","","","","",""
"484561","46","46","46","69.04024505615234","69.04024505615234","69.04024505615234","","","","","",""
"485463","","","","","","","46","46","46","64","64","64"
"508006","","","","","","","48","48","48","63.776222229003906","63.776222229003906","63.776222229003906"
"508843","48","48","48","69.9395751953125","69.9395751953125","69.9395751953125","","","","","",""
"528027","50","50","50","70","70","70","","","","","",""
"537621","","","","","","","50","50","50","70.09029388427734","70.09029388427734","70.09029388427734"
"556344","52","52","52","72.29551696777344","72.29551696777344","72.29551696777344","","","","","",""
"567403","","","","","","","52","52","52","69.70720672607422","69.70720672607422","69.70720672607422"
"582246","54","54","54","74.1307373046875","74.1307373046875","74.1307373046875","","","","","",""
"594913","","","","","","","54","54","54","72.67303466796875","72.67303466796875","72.67303466796875"
"601939","56","56","56","70.60810852050781","70.60810852050781","70.60810852050781","","","","","",""
"610384","","","","","","","56","56","56","70.81632995605469","70.81632995605469","70.81632995605469"
"625440","58","58","58","70.9774398803711","70.9774398803711","70.9774398803711","","","","","",""
"632229","","","","","","","58","58","58","74.34017944335938","74.34017944335938","74.34017944335938"
"638969","60","60","60","68.79606628417969","68.79606628417969","68.79606628417969","","","","","",""
"657230","","","","","","","60","60","60","70.50183868408203","70.50183868408203","70.50183868408203"
"661367","62","62","62","72.55892181396484","72.55892181396484","72.55892181396484","","","","","",""
"684001","64","64","64","75.88871765136719","75.88871765136719","75.88871765136719","","","","","",""
"684031","","","","","","","62","62","62","78.87828063964844","78.87828063964844","78.87828063964844"
"708210","66","66","66","73.64457702636719","73.64457702636719","73.64457702636719","","","","","",""
"708645","","","","","","","64","64","64","73.36814880371094","73.36814880371094","73.36814880371094"
