"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_off_road","HR-PPO - rollout/perc_off_road__MIN","HR-PPO - rollout/perc_off_road__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_off_road","PPO - rollout/perc_off_road__MIN","PPO - rollout/perc_off_road__MAX"
"16074","2","2","2","42.5","42.5","42.5","2","2","2","42.5","42.5","42.5"
"30156","4","4","4","44.050106048583984","44.050106048583984","44.050106048583984","","","","","",""
"30774","","","","","","","4","4","4","39.18629455566406","39.18629455566406","39.18629455566406"
"49689","","","","","","","6","6","6","42.579505920410156","42.579505920410156","42.579505920410156"
"51709","6","6","6","46.187049865722656","46.187049865722656","46.187049865722656","","","","","",""
"67942","","","","","","","8","8","8","39.67093276977539","39.67093276977539","39.67093276977539"
"71917","8","8","8","33.7984504699707","33.7984504699707","33.7984504699707","","","","","",""
"88750","","","","","","","10","10","10","40.41916275024414","40.41916275024414","40.41916275024414"
"93256","10","10","10","43.49775695800781","43.49775695800781","43.49775695800781","","","","","",""
"108542","","","","","","","12","12","12","36.11111068725586","36.11111068725586","36.11111068725586"
"113511","12","12","12","35.23489761352539","35.23489761352539","35.23489761352539","","","","","",""
"129302","","","","","","","14","14","14","37.39703369140625","37.39703369140625","37.39703369140625"
"130164","14","14","14","38.55670166015625","38.55670166015625","38.55670166015625","","","","","",""
"148934","","","","","","","16","16","16","34.20138931274414","34.20138931274414","34.20138931274414"
"149932","16","16","16","29.96515655517578","29.96515655517578","29.96515655517578","","","","","",""
"169827","18","18","18","29.519071578979492","29.519071578979492","29.519071578979492","","","","","",""
"171040","","","","","","","18","18","18","29.232995986938477","29.232995986938477","29.232995986938477"
"186179","","","","","","","20","20","20","30.252099990844727","30.252099990844727","30.252099990844727"
"190246","20","20","20","30.482114791870117","30.482114791870117","30.482114791870117","","","","","",""
"209348","","","","","","","22","22","22","24.251070022583008","24.251070022583008","24.251070022583008"
"217420","22","22","22","18.21705436706543","18.21705436706543","18.21705436706543","","","","","",""
"233673","24","24","24","23.44398307800293","23.44398307800293","23.44398307800293","","","","","",""
"235605","","","","","","","24","24","24","21.024967193603516","21.024967193603516","21.024967193603516"
"253507","26","26","26","22.807018280029297","22.807018280029297","22.807018280029297","","","","","",""
"256801","","","","","","","26","26","26","21.4743595123291","21.4743595123291","21.4743595123291"
"275718","28","28","28","20.629920959472656","20.629920959472656","20.629920959472656","","","","","",""
"276296","","","","","","","28","28","28","20.443740844726562","20.443740844726562","20.443740844726562"
"296895","30","30","30","16.03174591064453","16.03174591064453","16.03174591064453","","","","","",""
"300381","","","","","","","30","30","30","17.783857345581055","17.783857345581055","17.783857345581055"
"320576","","","","","","","32","32","32","18.45425796508789","18.45425796508789","18.45425796508789"
"321941","32","32","32","17.902097702026367","17.902097702026367","17.902097702026367","","","","","",""
"342048","","","","","","","34","34","34","18.876081466674805","18.876081466674805","18.876081466674805"
"344595","34","34","34","14.481707572937012","14.481707572937012","14.481707572937012","","","","","",""
"365774","","","","","","","36","36","36","16.59693145751953","16.59693145751953","16.59693145751953"
"366832","36","36","36","15.297906875610352","15.297906875610352","15.297906875610352","","","","","",""
"392027","38","38","38","15.517241477966309","15.517241477966309","15.517241477966309","","","","","",""
"392384","","","","","","","38","38","38","16.66666603088379","16.66666603088379","16.66666603088379"
"412451","","","","","","","40","40","40","16.61441993713379","16.61441993713379","16.61441993713379"
"419085","40","40","40","14.728682518005371","14.728682518005371","14.728682518005371","","","","","",""
"435322","","","","","","","42","42","42","15.584415435791016","15.584415435791016","15.584415435791016"
"436470","42","42","42","16.06425666809082","16.06425666809082","16.06425666809082","","","","","",""
"457211","","","","","","","44","44","44","13.64985179901123","13.64985179901123","13.64985179901123"
"461285","44","44","44","13.05007553100586","13.05007553100586","13.05007553100586","","","","","",""
"484561","46","46","46","10.99071216583252","10.99071216583252","10.99071216583252","","","","","",""
"485463","","","","","","","46","46","46","13.828571319580078","13.828571319580078","13.828571319580078"
"508006","","","","","","","48","48","48","16.923076629638672","16.923076629638672","16.923076629638672"
"508843","48","48","48","12.08459186553955","12.08459186553955","12.08459186553955","","","","","",""
"528027","50","50","50","12.777777671813965","12.777777671813965","12.777777671813965","","","","","",""
"537621","","","","","","","50","50","50","10.609480857849121","10.609480857849121","10.609480857849121"
"556344","52","52","52","12.137203216552734","12.137203216552734","12.137203216552734","","","","","",""
"567403","","","","","","","52","52","52","9.684684753417969","9.684684753417969","9.684684753417969"
"582246","54","54","54","10.709318161010742","10.709318161010742","10.709318161010742","","","","","",""
"594913","","","","","","","54","54","54","10.381861686706543","10.381861686706543","10.381861686706543"
"601939","56","56","56","13.175675392150879","13.175675392150879","13.175675392150879","","","","","",""
"610384","","","","","","","56","56","56","17.755102157592773","17.755102157592773","17.755102157592773"
"625440","58","58","58","11.87969970703125","11.87969970703125","11.87969970703125","","","","","",""
"632229","","","","","","","58","58","58","14.22287368774414","14.22287368774414","14.22287368774414"
"638969","60","60","60","17.199016571044922","17.199016571044922","17.199016571044922","","","","","",""
"657230","","","","","","","60","60","60","12.729497909545898","12.729497909545898","12.729497909545898"
"661367","62","62","62","12.289562225341797","12.289562225341797","12.289562225341797","","","","","",""
"684001","64","64","64","9.119010925292969","9.119010925292969","9.119010925292969","","","","","",""
"684031","","","","","","","62","62","62","9.904534339904785","9.904534339904785","9.904534339904785"
"708210","66","66","66","9.48795223236084","9.48795223236084","9.48795223236084","","","","","",""
"708645","","","","","","","64","64","64","12.40208911895752","12.40208911895752","12.40208911895752"
"730891","68","68","68","12.77602481842041","12.77602481842041","12.77602481842041","","","","","",""
"731029","","","","","","","66","66","66","13.661972045898438","13.661972045898438","13.661972045898438"
"752686","","","","","","","68","68","68","11.832612037658691","11.832612037658691","11.832612037658691"
"760147","70","70","70","7.83582067489624","7.83582067489624","7.83582067489624","","","","","",""
"774598","","","","","","","70","70","70","12.011577606201172","12.011577606201172","12.011577606201172"
"779935","72","72","72","9.851301193237305","9.851301193237305","9.851301193237305","","","","","",""
"795146","","","","","","","72","72","72","12.648809432983398","12.648809432983398","12.648809432983398"
"801661","74","74","74","7.768595218658447","7.768595218658447","7.768595218658447","","","","","",""
"823596","76","76","76","9.302325248718262","9.302325248718262","9.302325248718262","","","","","",""
"825690","","","","","","","74","74","74","9.397344589233398","9.397344589233398","9.397344589233398"
"845938","","","","","","","76","76","76","14.970060348510742","14.970060348510742","14.970060348510742"
"850535","78","78","78","6.81502103805542","6.81502103805542","6.81502103805542","","","","","",""
"869136","","","","","","","78","78","78","11.11111068725586","11.11111068725586","11.11111068725586"
"873514","80","80","80","9.84375","9.84375","9.84375","","","","","",""
"894325","82","82","82","7.567567348480225","7.567567348480225","7.567567348480225","","","","","",""
"896148","","","","","","","80","80","80","10.590858459472656","10.590858459472656","10.590858459472656"
"914554","","","","","","","82","82","82","15.008431434631348","15.008431434631348","15.008431434631348"
"921584","84","84","84","6.602476119995117","6.602476119995117","6.602476119995117","","","","","",""
"938704","86","86","86","10.147991180419922","10.147991180419922","10.147991180419922","","","","","",""
