"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/pi_entropy","HR-PPO - regularize/pi_entropy__MIN","HR-PPO - regularize/pi_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/pi_entropy","PPO - regularize/pi_entropy__MIN","PPO - regularize/pi_entropy__MAX"
"30156","4","4","4","5.984423637390137","5.984423637390137","5.984423637390137","","","","","",""
"30774","","","","","","","4","4","4","5.684941291809082","5.684941291809082","5.684941291809082"
"49689","","","","","","","6","6","6","5.600808620452881","5.600808620452881","5.600808620452881"
"51709","6","6","6","6.23002815246582","6.23002815246582","6.23002815246582","","","","","",""
"67942","","","","","","","8","8","8","5.477937698364258","5.477937698364258","5.477937698364258"
"71917","8","8","8","5.825833797454834","5.825833797454834","5.825833797454834","","","","","",""
"88750","","","","","","","10","10","10","5.6747846603393555","5.6747846603393555","5.6747846603393555"
"93256","10","10","10","5.7941107749938965","5.7941107749938965","5.7941107749938965","","","","","",""
"108542","","","","","","","12","12","12","5.63566780090332","5.63566780090332","5.63566780090332"
"113511","12","12","12","5.6382975578308105","5.6382975578308105","5.6382975578308105","","","","","",""
"129302","","","","","","","14","14","14","5.75533390045166","5.75533390045166","5.75533390045166"
"130164","14","14","14","5.5790934562683105","5.5790934562683105","5.5790934562683105","","","","","",""
"148934","","","","","","","16","16","16","5.608452796936035","5.608452796936035","5.608452796936035"
"149932","16","16","16","5.336485862731934","5.336485862731934","5.336485862731934","","","","","",""
"169827","18","18","18","5.388922691345215","5.388922691345215","5.388922691345215","","","","","",""
"171040","","","","","","","18","18","18","5.638322830200195","5.638322830200195","5.638322830200195"
"186179","","","","","","","20","20","20","5.666378974914551","5.666378974914551","5.666378974914551"
"190246","20","20","20","5.077583312988281","5.077583312988281","5.077583312988281","","","","","",""
"209348","","","","","","","22","22","22","5.703213214874268","5.703213214874268","5.703213214874268"
"217420","22","22","22","5.044870853424072","5.044870853424072","5.044870853424072","","","","","",""
"233673","24","24","24","4.939632415771484","4.939632415771484","4.939632415771484","","","","","",""
"235605","","","","","","","24","24","24","5.637940883636475","5.637940883636475","5.637940883636475"
"253507","26","26","26","4.7141499519348145","4.7141499519348145","4.7141499519348145","","","","","",""
"256801","","","","","","","26","26","26","5.5540032386779785","5.5540032386779785","5.5540032386779785"
"275718","28","28","28","4.558227062225342","4.558227062225342","4.558227062225342","","","","","",""
"276296","","","","","","","28","28","28","5.693093299865723","5.693093299865723","5.693093299865723"
"296895","30","30","30","4.310094356536865","4.310094356536865","4.310094356536865","","","","","",""
"300381","","","","","","","30","30","30","5.669511318206787","5.669511318206787","5.669511318206787"
"320576","","","","","","","32","32","32","5.509852409362793","5.509852409362793","5.509852409362793"
