"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/ep_rew_mean_norm","HR-PPO - rollout/ep_rew_mean_norm__MIN","HR-PPO - rollout/ep_rew_mean_norm__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/ep_rew_mean_norm","PPO - rollout/ep_rew_mean_norm__MIN","PPO - rollout/ep_rew_mean_norm__MAX"
"16074","2","2","2","0.16237179934978485","0.16237179934978485","0.16237179934978485","2","2","2","0.16237179934978485","0.16237179934978485","0.16237179934978485"
"30156","4","4","4","0.223119854927063","0.223119854927063","0.223119854927063","","","","","",""
"30774","","","","","","","4","4","4","0.2179700881242752","0.2179700881242752","0.2179700881242752"
"49689","","","","","","","6","6","6","0.16835470497608185","0.16835470497608185","0.16835470497608185"
"51709","6","6","6","0.18867717683315277","0.18867717683315277","0.18867717683315277","","","","","",""
"67942","","","","","","","8","8","8","0.17016719281673431","0.17016719281673431","0.17016719281673431"
"71917","8","8","8","0.27614542841911316","0.27614542841911316","0.27614542841911316","","","","","",""
"88750","","","","","","","10","10","10","0.198833629488945","0.198833629488945","0.198833629488945"
"93256","10","10","10","0.22064870595932007","0.22064870595932007","0.22064870595932007","","","","","",""
"108542","","","","","","","12","12","12","0.24301281571388245","0.24301281571388245","0.24301281571388245"
"113511","12","12","12","0.2650783061981201","0.2650783061981201","0.2650783061981201","","","","","",""
"129302","","","","","","","14","14","14","0.20802071690559387","0.20802071690559387","0.20802071690559387"
"130164","14","14","14","0.24064132571220398","0.24064132571220398","0.24064132571220398","","","","","",""
"148934","","","","","","","16","16","16","0.26920023560523987","0.26920023560523987","0.26920023560523987"
"149932","16","16","16","0.3222130537033081","0.3222130537033081","0.3222130537033081","","","","","",""
"169827","18","18","18","0.386741042137146","0.386741042137146","0.386741042137146","","","","","",""
"171040","","","","","","","18","18","18","0.3403816521167755","0.3403816521167755","0.3403816521167755"
"186179","","","","","","","20","20","20","0.341825395822525","0.341825395822525","0.341825395822525"
"190246","20","20","20","0.37167370319366455","0.37167370319366455","0.37167370319366455","","","","","",""
"209348","","","","","","","22","22","22","0.4036334753036499","0.4036334753036499","0.4036334753036499"
"217420","22","22","22","0.5058064460754395","0.5058064460754395","0.5058064460754395","","","","","",""
"233673","24","24","24","0.48895949125289917","0.48895949125289917","0.48895949125289917","","","","","",""
"235605","","","","","","","24","24","24","0.4307061731815338","0.4307061731815338","0.4307061731815338"
"253507","26","26","26","0.4819957911968231","0.4819957911968231","0.4819957911968231","","","","","",""
"256801","","","","","","","26","26","26","0.4601133167743683","0.4601133167743683","0.4601133167743683"
"275718","28","28","28","0.4805436134338379","0.4805436134338379","0.4805436134338379","","","","","",""
"276296","","","","","","","28","28","28","0.4750969707965851","0.4750969707965851","0.4750969707965851"
"296895","30","30","30","0.5820649266242981","0.5820649266242981","0.5820649266242981","","","","","",""
"300381","","","","","","","30","30","30","0.5068756341934204","0.5068756341934204","0.5068756341934204"
"320576","","","","","","","32","32","32","0.5429341197013855","0.5429341197013855","0.5429341197013855"
"321941","32","32","32","0.5518814325332642","0.5518814325332642","0.5518814325332642","","","","","",""
"342048","","","","","","","34","34","34","0.5184605121612549","0.5184605121612549","0.5184605121612549"
"344595","34","34","34","0.5858774185180664","0.5858774185180664","0.5858774185180664","","","","","",""
"365774","","","","","","","36","36","36","0.5716198086738586","0.5716198086738586","0.5716198086738586"
"366832","36","36","36","0.5405795574188232","0.5405795574188232","0.5405795574188232","","","","","",""
"392027","38","38","38","0.5382753610610962","0.5382753610610962","0.5382753610610962","","","","","",""
"392384","","","","","","","38","38","38","0.5458791255950928","0.5458791255950928","0.5458791255950928"
"412451","","","","","","","40","40","40","0.594591498374939","0.594591498374939","0.594591498374939"
"419085","40","40","40","0.5806875228881836","0.5806875228881836","0.5806875228881836","","","","","",""
"435322","","","","","","","42","42","42","0.601671576499939","0.601671576499939","0.601671576499939"
"436470","42","42","42","0.5990951657295227","0.5990951657295227","0.5990951657295227","","","","","",""
"457211","","","","","","","44","44","44","0.6443124413490295","0.6443124413490295","0.6443124413490295"
"461285","44","44","44","0.641869843006134","0.641869843006134","0.641869843006134","","","","","",""
"484561","46","46","46","0.6860045194625854","0.6860045194625854","0.6860045194625854","","","","","",""
"485463","","","","","","","46","46","46","0.5621693134307861","0.5621693134307861","0.5621693134307861"
"508006","","","","","","","48","48","48","0.5521928071975708","0.5521928071975708","0.5521928071975708"
"508843","48","48","48","0.6620731353759766","0.6620731353759766","0.6620731353759766","","","","","",""
"528027","50","50","50","0.6459437608718872","0.6459437608718872","0.6459437608718872","","","","","",""
"537621","","","","","","","50","50","50","0.6793788075447083","0.6793788075447083","0.6793788075447083"
"556344","52","52","52","0.6713317632675171","0.6713317632675171","0.6713317632675171","","","","","",""
"567403","","","","","","","52","52","52","0.6696246862411499","0.6696246862411499","0.6696246862411499"
"582246","54","54","54","0.6993740200996399","0.6993740200996399","0.6993740200996399","","","","","",""
"594913","","","","","","","54","54","54","0.6753637790679932","0.6753637790679932","0.6753637790679932"
