"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"30156","4","4","4","0.6683290600776672","0.6683290600776672","0.6683290600776672","","","","","",""
"30774","","","","","","","4","4","4","0.6683290600776672","0.6683290600776672","0.6683290600776672"
"49689","","","","","","","6","6","6","0.7569490671157837","0.7569490671157837","0.7569490671157837"
"51709","6","6","6","0.6672551035881042","0.6672551035881042","0.6672551035881042","","","","","",""
"67942","","","","","","","8","8","8","0.7631849050521851","0.7631849050521851","0.7631849050521851"
"71917","8","8","8","0.7369406223297119","0.7369406223297119","0.7369406223297119","","","","","",""
"88750","","","","","","","10","10","10","0.7645263671875","0.7645263671875","0.7645263671875"
"93256","10","10","10","0.7162250280380249","0.7162250280380249","0.7162250280380249","","","","","",""
"108542","","","","","","","12","12","12","0.7687976360321045","0.7687976360321045","0.7687976360321045"
"113511","12","12","12","0.6555665731430054","0.6555665731430054","0.6555665731430054","","","","","",""
"129302","","","","","","","14","14","14","0.761468768119812","0.761468768119812","0.761468768119812"
"130164","14","14","14","0.6404942870140076","0.6404942870140076","0.6404942870140076","","","","","",""
"148934","","","","","","","16","16","16","0.7894598245620728","0.7894598245620728","0.7894598245620728"
"149932","16","16","16","0.6330572962760925","0.6330572962760925","0.6330572962760925","","","","","",""
"169827","18","18","18","0.5991852879524231","0.5991852879524231","0.5991852879524231","","","","","",""
"171040","","","","","","","18","18","18","0.6563690304756165","0.6563690304756165","0.6563690304756165"
"186179","","","","","","","20","20","20","0.7020682692527771","0.7020682692527771","0.7020682692527771"
"190246","20","20","20","0.5616863369941711","0.5616863369941711","0.5616863369941711","","","","","",""
"209348","","","","","","","22","22","22","0.7363635301589966","0.7363635301589966","0.7363635301589966"
"217420","22","22","22","0.5257048010826111","0.5257048010826111","0.5257048010826111","","","","","",""
"233673","24","24","24","0.548046886920929","0.548046886920929","0.548046886920929","","","","","",""
"235605","","","","","","","24","24","24","0.6543769240379333","0.6543769240379333","0.6543769240379333"
"253507","26","26","26","0.4841844439506531","0.4841844439506531","0.4841844439506531","","","","","",""
"256801","","","","","","","26","26","26","0.6416716575622559","0.6416716575622559","0.6416716575622559"
"275718","28","28","28","0.5239797830581665","0.5239797830581665","0.5239797830581665","","","","","",""
"276296","","","","","","","28","28","28","0.6552959084510803","0.6552959084510803","0.6552959084510803"
"296895","30","30","30","0.44045543670654297","0.44045543670654297","0.44045543670654297","","","","","",""
"300381","","","","","","","30","30","30","0.8039127588272095","0.8039127588272095","0.8039127588272095"
"320576","","","","","","","32","32","32","0.7646222710609436","0.7646222710609436","0.7646222710609436"
"321941","32","32","32","0.5086572766304016","0.5086572766304016","0.5086572766304016","","","","","",""
"342048","","","","","","","34","34","34","0.6064464449882507","0.6064464449882507","0.6064464449882507"
"344595","34","34","34","0.4100332260131836","0.4100332260131836","0.4100332260131836","","","","","",""
"365774","","","","","","","36","36","36","0.7327698469161987","0.7327698469161987","0.7327698469161987"
"366832","36","36","36","0.48474565148353577","0.48474565148353577","0.48474565148353577","","","","","",""
"392027","38","38","38","0.4514298439025879","0.4514298439025879","0.4514298439025879","","","","","",""
"392384","","","","","","","38","38","38","0.6643218994140625","0.6643218994140625","0.6643218994140625"
"412451","","","","","","","40","40","40","0.7483797669410706","0.7483797669410706","0.7483797669410706"
"419085","40","40","40","0.4280407130718231","0.4280407130718231","0.4280407130718231","","","","","",""
"435322","","","","","","","42","42","42","0.5892883539199829","0.5892883539199829","0.5892883539199829"
"436470","42","42","42","0.34920650720596313","0.34920650720596313","0.34920650720596313","","","","","",""
"457211","","","","","","","44","44","44","0.7930446863174438","0.7930446863174438","0.7930446863174438"
"461285","44","44","44","0.34757235646247864","0.34757235646247864","0.34757235646247864","","","","","",""
"484561","46","46","46","0.44704797863960266","0.44704797863960266","0.44704797863960266","","","","","",""
"485463","","","","","","","46","46","46","0.6426752209663391","0.6426752209663391","0.6426752209663391"
"508006","","","","","","","48","48","48","0.688486635684967","0.688486635684967","0.688486635684967"
"508843","48","48","48","0.35529929399490356","0.35529929399490356","0.35529929399490356","","","","","",""
"528027","50","50","50","0.4457249641418457","0.4457249641418457","0.4457249641418457","","","","","",""
